,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
81,CICAGAIBBELC4AQCAEBAOBABAMPCALZQAIBAGAYEAIAQCAYYAIAQCBBSAEAQEAII,Freljord,Noxus,Braum,Sejuani,None,None,141
82,CIBQIAIADIUCSKQFAEAQQCIQDE2QEAQBAMDQEAIBAEZAEAIACUYQCAIBAAZA,Demacia,Freljord,Lux,Braum,None,None,141
83,CIBQEAIFAMHQSAIABEGBUHJBE4VS2MYBAIAASAACAMAQACQPCUAQEAAH,Shadow Isles,Demacia,Garen,Fiora,None,None,140
84,CIBQCAIDFYBQEAYHBAEQKAIEDMPSIKZUAMAQCAZLAEBAGAIEAECBUJZRHIAQCAIDCY,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,139
85,CIBAIAICBQUSWNYHAEAAGCI2DUQCKLICAEAQABYCAEBAEMIBAEBAAAI,Ionia,Demacia,Karma,Fiora,None,None,138
86,CICAEAIDFY3QCAQDBECACBJIFMYTKAQCAUAQUAQCAEBQIMYEAECQCDZEHAAQCAIDCY,Noxus,Shadow Isles,Elise,None,None,None,135
87,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAICAEDQEAIFA4MQCAIBAUFQ,Freljord,Shadow Isles,Kalista,Elise,None,None,133
88,CIBQKAIEBAMRWNB2AUAQCBALCYQDEAQCAEBAUAIBAIAQKAQBAECB6AICAEEA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,132
89,CIBQEAIEBATQSAICAYEQYEIXEYYTEOIBAIBAUAQBAEBDAAIBAQ2AA,Piltover & Zaun,Ionia,Teemo,Zed,None,None,130
90,CICACAICB4BAEAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,Ionia,Noxus,Yasuo,Swain,None,None,130
91,CIBACAIEEQFAEBQEBAEQWEQ2DQQS2MICAEBAMFACAECB6NABAEAQIGY,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,130
92,CICAKAICAIEA6JJZAMAQGLRWG4AQEAQFAMBAGAIHBEBACAICGEAQCAZEAA,Ionia,Noxus,Yasuo,Swain,None,None,130
93,CIBAEAQGAURQMAIFDIQCSMBRHIBAEAQGAEIQKAIFAEFR2KBWAEBACBIPDE,Bilgewater,Shadow Isles,None,None,None,None,130
94,CIBQEAQGBALAMAIAAEERMHJGFMBAEAAJBIBAGAIACUNCOAICAADQEAIBAASQCAQABA,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,130
95,CICACAIEBAAQEBADA4AQEBQJBQIRIMRZAEBAEBICAQAQEFJMFY2ACAQCBIAA,Piltover & Zaun,Ionia,Teemo,Zed,None,None,128
96,CIBQKAIEBAMRWNB2AQAQCBALCYQAEAQBAIFAEAIBAQPQEAQBAUEACAIBAEZA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,126
97,CICAGAIDCQVS4AICAMEQMAIEAENR6JBRGQAQEBAGAIAQCAZXAIAQIJZ2AEAQCAYW,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,125
98,CIBAIAIDAQMB6IIFAEAQWFQ6EYYAGAQBAECCUAYBAMNDGNIBAIAQEAIBAIAQO,Noxus,Freljord,Ashe,Sejuani,None,None,123
99,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBILCYMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,121
100,CIBQCAIFAMEQCAYCBAHRIHRFEYUC6AYCAMBQIBIAAEAQCAZO,Shadow Isles,Noxus,Draven,Darius,None,None,120
101,CIBAEAQGAURQOAIFBMNCAKJQGE5AEAQCAYARCAYBAUOSQNQBAMAQKDYZHE,Bilgewater,Shadow Isles,None,None,None,None,120
102,CIBAGAIDAQPSCCIBAEBQIBYLCYTCSKRQAIAQCAI6AEBACAQA,Noxus,Freljord,Ashe,Sejuani,None,None,119
103,CIBAKAIFAEOSQNRXA4AQCDAUCULRQIJHAEAQCBIPAIAQCAJUAEAQKGI,Shadow Isles,Freljord,Anivia,Tryndamere,None,None,117
104,CIBQEAQGBALAOAIAAEERUHJFE4VQGAQAAYEQUAQBAEABKAICAADQA,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,117
105,CIBQCAIBCYBAEAICA4EQEBQFBAFRIFQ4EE5D4AICAIDBCFIA,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,116
106,CICAEAIBAQQAEAQBAIDQKAIEBAMRWNB2AEBAICQCAEBACCQDAECCOMJVAIAQCAJKAEAQIGQ,Freljord,Piltover & Zaun,Sejuani,Teemo,None,None,114
107,CIBQIAIDCMKB4LYBAEBDSBICAIAQGBQJBIBQEAIDDARQEAICAIYQCAQCBAAA,Noxus,Ionia,Draven,Lee Sin,None,None,113
108,CIBQIAICAYERCOIEAEBQ6HRFF4BAEAYDAQBACAIDAIBQCAQCEYWAEAIBAMMQCAQCBI,Ionia,Noxus,Zed,None,None,None,111
109,CIBQIAIBBMLCMMAFAEBQIGA2D4QQCAQBAIBQCAIDGUBQCAIEDYVACAQBA4AA,Freljord,Noxus,Ashe,Sejuani,None,None,111
